tick,quiet,jailed,active,vision,threshold,K,cop_density,agent_density,movement,government_legitimacy,max_jail_term
0,1120,0,0,7.0,0.1,2.3,0.04,0.7,True,0.82,30
1,1027,47,46
2,680,110,330
3,620,170,330
4,627,226,267
5,636,277,207
6,639,330,151
7,637,384,99
8,640,435,45
9,655,462,3
10,668,452,0
11,691,429,0
12,713,407,0
13,734,386,0
14,750,370,0
15,765,355,0
16,785,335,0
17,800,320,0
18,810,310,0
19,825,295,0
20,838,282,0
21,856,264,0
22,879,241,0
23,896,224,0
24,920,200,0
25,940,180,0
26,953,167,0
27,972,148,0
28,986,134,0
29,1000,120,0
30,1023,97,0
31,1035,85,0
32,1047,73,0
33,1035,69,16
34,911,103,106
35,672,154,294
36,636,210,274
37,631,266,223
38,641,312,167
39,643,366,111
40,643,413,64
41,653,450,17
42,665,454,1
43,681,438,1
44,696,424,0
45,710,410,0
46,732,388,0
47,753,367,0
48,765,355,0
49,782,338,0
50,800,320,0
51,820,300,0
52,837,283,0
53,858,262,0
54,873,247,0
55,893,227,0
56,874,237,9
57,853,238,29
58,812,264,44
59,756,296,68
60,694,337,89
61,667,379,74
62,663,421,36
63,678,432,10
64,708,412,0
65,735,385,0
66,767,353,0
67,793,327,0
68,807,310,3
69,822,295,3
70,845,274,1
71,843,272,5
72,839,276,5
73,847,273,0
74,855,265,0
75,868,252,0
76,882,238,0
77,904,216,0
78,913,207,0
79,926,194,0
80,938,182,0
81,948,172,0
82,962,158,0
83,981,139,0
84,995,125,0
85,1008,112,0
86,1027,93,0
87,1044,76,0
88,1054,66,0
89,1061,59,0
90,1068,52,0
91,1078,42,0
92,1081,39,0
93,1087,33,0
94,1089,31,0
95,1092,28,0
96,1095,25,0
97,1095,25,0
98,1096,24,0
99,1100,20,0
100,1104,16,0
101,1101,19,0
102,1101,19,0
103,1105,15,0
104,1106,14,0
105,1094,21,5
106,981,71,68
107,671,134,315
108,621,193,306
109,630,247,243
110,638,298,184
111,640,350,130
112,645,397,78
113,653,440,27
114,662,457,1
115,684,436,0
116,697,423,0
117,718,402,0
118,742,378,0
119,755,365,0
120,764,356,0
121,779,341,0
122,799,321,0
123,815,300,5
124,811,304,5
125,819,301,0
126,846,274,0
127,866,254,0
128,884,236,0
129,898,222,0
130,915,205,0
131,936,184,0
132,950,170,0
133,959,161,0
134,979,141,0
135,999,121,0
136,1018,102,0
137,1033,87,0
138,1052,68,0
139,1065,55,0
140,1077,43,0
141,1084,36,0
142,1088,32,0
143,1093,27,0
144,1097,23,0
145,1098,22,0
146,1097,23,0
147,1099,21,0
148,1099,21,0
149,1101,19,0
150,1101,19,0
